Step;Value
90000;37
180000;38
270000;44
360000;53
450000;20
540000;22
630000;54
671000;48
761000;47
821000;51.77259064
911000;39
1001000;38
1091000;43
1181000;43
1271000;29
1361000;38
1451000;51
1541000;43
1630500;52
1720500;42
1810500;46
1900500;24
1967000;40
2057000;45
2117500;53
2207500;49
2297500;47
2387500;35
2477500;32
2567500;36
2624000;58
2648500;77.82494354
2738500;38
2775000;54
2865000;51
2931500;52
3019000;47
3109000;52
3198500;19
3221000;56
3311000;41
3401000;57
3491000;50
3581000;53
3630500;45
3720500;33
3783500;49
3873500;45
3963000;49
4053000;49
4093500;44
4155500;54.33078766
4245500;51
4335500;46
4425500;23
